[2026-05-14 21:32:28] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 21:46:59] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 21:56:59] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 21:58:51] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 22:33:52] FALLO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 22:33:55] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 22:35:13] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 23:54:39] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-14 23:55:04] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 00:30:48] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 00:36:26] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 01:05:25] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 01:44:12] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 01:45:50] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 03:12:19] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 03:13:00] EXITO | IP: ::1 | Email: recep@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 03:14:22] EXITO | IP: ::1 | Email: maria@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 03:15:07] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 03:31:03] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 04:32:45] EXITO | IP: ::1 | Email: recep@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 04:33:21] EXITO | IP: ::1 | Email: maria@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 04:34:40] FALLO | IP: ::1 | Email: fdgfdgfdg | CAPTCHA_OK | Error: Usuario no encontrado | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 16:28:19] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 16:31:27] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 20:30:12] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 20:34:29] EXITO | IP: ::1 | Email: damian@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 20:45:42] EXITO | IP: ::1 | Email: damian@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:19:53] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:30:45] EXITO | IP: ::1 | Email: mau@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:36:30] EXITO | IP: ::1 | Email: recep@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:37:07] EXITO | IP: ::1 | Email: maria@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:37:50] EXITO | IP: ::1 | Email: damian@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
